,Type,precision,recall,fbeta
0,workclass : ?,0.5714285714285714,0.5714285714285714,0.5714285714285714
1,workclass : Federal-gov,0.6125,0.7313432835820896,0.6666666666666667
2,workclass : Private,0.6311066799601196,0.6459183673469387,0.6384266263237518
3,workclass : Self-emp-inc,0.6838235294117647,0.7560975609756098,0.7181467181467182
4,workclass : Local-gov,0.5851851851851851,0.6638655462184874,0.6220472440944882
5,workclass : Self-emp-not-inc,0.4662576687116564,0.5390070921985816,0.5
6,workclass : State-gov,0.6086956521739131,0.525,0.563758389261745
7,workclass : Without-pay,1.0,1.0,1.0
8,workclass : Never-worked,1.0,1.0,1.0
9,education : Doctorate,0.7903225806451613,0.7777777777777778,0.7839999999999999
10,education : Masters,0.8143712574850299,0.7597765363128491,0.7861271676300579
11,education : Some-college,0.5615942028985508,0.5555555555555556,0.5585585585585586
12,education : Bachelors,0.724669603524229,0.7199124726477024,0.7222832052689352
13,education : HS-grad,0.412532637075718,0.4906832298136646,0.4482269503546099
14,education : 9th,0.2857142857142857,0.4,0.3333333333333333
15,education : 7th-8th,0.0,0.0,0.0
16,education : 1st-4th,0.0,0.0,0.0
17,education : Assoc-acdm,0.5396825396825397,0.6181818181818182,0.576271186440678
18,education : 10th,0.4444444444444444,0.4,0.4210526315789474
19,education : 11th,0.6,0.42857142857142855,0.5
20,education : Prof-school,0.8541666666666666,0.845360824742268,0.8497409326424871
21,education : 5th-6th,0.3333333333333333,1.0,0.5
22,education : Assoc-voc,0.48863636363636365,0.6142857142857143,0.5443037974683544
23,education : 12th,0.14285714285714285,0.25,0.18181818181818182
24,education : Preschool,1.0,1.0,1.0
25,marital-status : Married-civ-spouse,0.6417693981145758,0.6659142212189616,0.6536189069423929
26,marital-status : Never-married,0.46153846153846156,0.5217391304347826,0.4897959183673469
27,marital-status : Separated,0.375,0.5,0.42857142857142855
28,marital-status : Married-spouse-absent,0.25,0.5,0.3333333333333333
29,marital-status : Divorced,0.4519230769230769,0.4563106796116505,0.4541062801932368
30,marital-status : Widowed,0.5555555555555556,0.625,0.5882352941176471
31,marital-status : Married-AF-spouse,0.5,1.0,0.6666666666666666
32,occupation : ?,0.5714285714285714,0.5714285714285714,0.5714285714285714
33,occupation : Prof-specialty,0.7241379310344828,0.7138810198300283,0.7189728958630527
34,occupation : Exec-managerial,0.7396593673965937,0.7855297157622739,0.761904761904762
35,occupation : Tech-support,0.68,0.576271186440678,0.6238532110091743
36,occupation : Craft-repair,0.49222797927461137,0.4846938775510204,0.4884318766066838
37,occupation : Sales,0.589041095890411,0.6548223350253807,0.6201923076923077
38,occupation : Other-service,0.25,0.3333333333333333,0.28571428571428575
39,occupation : Adm-clerical,0.5677966101694916,0.5929203539823009,0.5800865800865802
40,occupation : Handlers-cleaners,0.35,0.4375,0.38888888888888884
41,occupation : Transport-moving,0.47058823529411764,0.49230769230769234,0.481203007518797
42,occupation : Farming-fishing,0.21875,0.3333333333333333,0.2641509433962264
43,occupation : Protective-serv,0.5263157894736842,0.5128205128205128,0.5194805194805194
44,occupation : Machine-op-inspct,0.3018867924528302,0.43243243243243246,0.3555555555555556
45,occupation : Priv-house-serv,1.0,1.0,1.0
46,occupation : Armed-Forces,1.0,1.0,1.0
47,relationship : Husband,0.6460905349794238,0.6658184902459712,0.6558061821219715
48,relationship : Own-child,0.32142857142857145,0.6428571428571429,0.4285714285714286
